ชื่ออาหาร,ประเภท,รสชาติ,วัตถุดิบ
ข้าวขาหมู,ข้าวหน้าต่างๆ,เค็ม หวาน,ข้าว คะน้า ขาหมู
บัวลอยไข่หวาน,ของหวาน,หวาน มัน,แป้ง กะทิ ไข่
ข้าวเหนียวมะม่วง,ของหวาน,เค็ม หวาน มัน,ข้าว กะทิ มะม่วง
ขนมจีน,อาหารไทย,เค็ม เผ็ด มัน,ขนมจีน ไก่ มะเขือเทศ เครื่องแกง
แกงเขียวหวาน,อาหารไทย,เค็ม เผ็ด มัน,ไก่ พริกแกง กะทิ พริก มะเขือเปราะ
มัสมั่นไก่,อาหารไทย,เค็ม เผ็ด มัน,ไก่ พริกแกง กะทิ มันฝรั่ง
ผัดไทย,อาหารไทย,เค็ม หวาน เปรี้ยว,เส้นก๋วยเตี๋ยว กุ้ง ถั่วงอก
ข้าวมันไก่,ข้าวหน้าต่างๆ,เค็ม มัน,ข้าว ขิง ขา ไก่
ส้มตำ,อาหารไทย,เค็ม หวาน เผ็ด มัน,มะละกอดิบ กระเทียม พริก มะเขือเทศ ถั่วฟักยาว กุ้ง
ยำวุ้นเส้น,อาหารไทย,เค็ม เปรี้ยว เผ็ด,วุ้นเส้น หมูยอ หมู แครอท พริก มะนาว กระเทียม
ข้าวผัดไข่,ข้าวหน้าต่างๆ,เค็ม มัน,ข้าว ไข่ กระเทียม
หมูทอดกระเทียม,อาหารไทย,เค็ม มัน,หมู กระเทียม
ผัดพริกแกงเนื้อ,อาหารไทย,เค็ม เผ็ด มัน,เนื้อ น้ำพริกแกง ถั่วฟักยาว
ข้าวผัดซีอิ๊ว,ข้าวหน้าต่างๆ,เค็ม,ข้าว ไข่ คะน้า กระเทียม
ยำไข่ขยี้,อาหารไทย,เค็ม หวาน เปรี้ยว เผ็ด,ไข่ พริก มะนาว
แกงส้มใต้กุ้ง,อาหารไทย,เค็ม หวาน เปรี้ยว เผ็ด,กุ้ง น้ำพริกแกง มะนาว พริก
ไก่นึ่งใบกะเพรา,อาหารไทย,เค็ม เผ็ด,ไก่ ใบกะเพรา กระเทียม
กุ้งทอดกระเทียมพริกไทย,อาหารไทย,เค็ม,กุ้ง แป้งทอด กระเทียม
ห่อหมก,อาหารไทย,เค็ม เผ็ด มัน ,ปลา กะทิ น้ำพริกแกง กระเทียม
ต้มจืดเต้าหู้หมู,อาหารไทย,เค็ม หวาน,หมู เต้าหู้ สาหร่าย ผักกาด กระเทียม
ต้มแซ่บกระดูกหมู,อาหารไทย,เค็ม เปรี้ยว เผ็ด,กระดูกหมู พริก กระเทียม
ต้มยำทะเลน้ำใส,อาหารไทย,เค็ม เปรี้ยว เผ็ด,กุ้ง หมึก หอย เห็ด พริก
ข้าวผัดกระเพราไส้กรอก,ข้าวหน้าต่างๆ,เค็ม เผ็ด,ข้าว ใบกะเพรา ไส้กรอก พริก กระเทียม
น้ำตกหมู,อาหารไทย,เค็ม หวาน เปรี้ยว เผ็ด,หมู ข้าว มะนาว พริก กระเทียม
ยำทูน่า,อาหารไทย,เค็ม หวาน เปรี้ยว เผ็ด,ทูน่า พริก มะเขือเทศ มะนาว
ก๋วยเตี๋ยวหมูตุ๋น,ก๋วยเตี๋ยว,เค็ม,เส้นก๋วยเตี๋ยว หมู
ตำข้าวโพด,อาหารไทย,เค็ม หวาน เปรี้ยว เผ็ด,ข้าวโพด มะเขือเทศ พริก กระเทียม
ยำขนมจีน,อาหารไทย,เค็ม หวาน เปรี้ยว เผ็ด,ขนมจีน น้ำปลาร้า ปลา พริก พริก กระเทียม
ปูผัดผงกะหรี่,อาหารไทย,เค็ม,เนื้อปู ไข่ พริก หอมใหญ่ ผงกะหรี่ กระเทียม
ปลาทอดสมุนไพร,อาหารไทย,เค็ม,ปลา สมุนไพร กระเทียม
ไก่ย่าง,อาหารไทย,เค็ม,ไก่
ไก่ทอดน้ำปลา,อาหารไทย,เค็ม,ไก่ น้ำปลา
